Beer Name,Brewery,Beer Style,ABV
1554,New Belgium Brewing Company,Lager - Black,5.6
#9,Magic Hat Brewing Company,Pale Ale - American,5.1
120 Minute IPA,Dogfish Head Craft Brewery,IPA - Imperial / Double,18
2 Biggie,Greenbush Brewing Company,Barleywine - American,9.8
2-Wheeler Witbier,Original Gravity Brewing Company,Witbier,5.6
3 Scrooges,Griffin Claw Brewing Company,Winter Ale,6.5
312 Urban Wheat Ale,Goose Island Beer Co.,Pale Wheat Ale - American,4.2
343 Day Pale Ale,Lil' Juniper,Pale Ale - Belgian,5
60 Minute IPA,Dogfish Head Craft Brewery,IPA - American,6
90 Minute IPA,Dogfish Head Craft Brewery,IPA - Imperial / Double,9
90 Schilling Scotch Ale,Royal Oak Brewery,Scotch Ale / Wee Heavy,8.5
98 Problems IPA,Perrin Brewing Co.,IPA - American,6.5
A Little Sumpin' Sumpin' Ale,Lagunitas Brewing Company,Pale Wheat Ale - American,7.5
A Saison Darkly,Stillwater Artisanal Ales,Saison / Farmhouse Ale,8
Abbaye de St. Martin Triple,Brasserie de Brunehaut,Belgian Tripel,9
Accumulation,New Belgium Brewing Company,IPA - White,6.2
Ace Pineapple Cider,Ace Cider (The California Cider Company),Cider,5
Ain’t No Sunshine When Saison,Odd Side Ales,Saison / Farmhouse Ale,6
Alien Einstein,Short's Brewing Company,Lager - IPL (India Pale Lager),5.5
All Day IPA,Founders Brewing Co.,IPA - Session / India Session Ale,4.7
Amber Ale,"Bell's Brewery, Inc.",Red Ale - American Amber / Red,5.8
Anger,Greenbush Brewing Company,IPA - Black / Cascadian Dark Ale,7.6
Angler's Ale,Arcadia Brewing Company (Arcadia Ales),Pale Ale - English,5.4
Anniversary Ale,Short's Brewing Company,Wheat Wine,9.3
Aphrodisiaque / Aphrodite,Brasserie Dieu du Ciel!,Stout - American,6.5
Appenzeller Quöllfrisch Naturtrüb,Brauerei Locher,Kellerbier / Zwickelbier,4.8
Appenzeller Schwarzer Kristall,Brauerei Locher,Schwarzbier,6.3
Appenzeller Vollmond Bier,Brauerei Locher,Lager - Helles,5.2
Appenzeller Weizenbier,Brauerei Locher,Hefeweizen,5
Apple Pi,B. Nektar Meadery,Mead,12
Apricot Cardamom Mead,B. Nektar Meadery,Mead,6
Armageddon Grand Cru,Dragonmead Microbrewery,Belgian Quad,11.6
Arrogant Bastard Ale,Arrogant Bastard Brewing Company,Strong Ale - American,7.2
Asahi Super Dry,Asahi Breweries,Lager - Japanese Rice,5
Atomic Tauntaun Overdrive,Greenbush Brewing Company,Fruit Beer,7.7
Atwood Amber,Tenacity Brewing,Red Ale - American Amber / Red,4.7
Avalanche Amber Ale,Breckenridge Brewery,Red Ale - American Amber / Red,4.4
B-Craft Black Double IPA,Arcadia Brewing Company (Arcadia Ales),IPA - Imperial / Double Black,8.5
Baba O'Reilly Red,B.O.B.'s Brewery,Red Ale - American Amber / Red,0
Baba Organic Black Lager,Uinta Brewing Company,Lager - Black,4
Backwoods Bastard,Founders Brewing Co.,Scotch Ale / Wee Heavy,11.6
Backyard Session IPA,Saugatuck Brewing Company,IPA - Session / India Session Ale,4.5
Bam Bière,Jolly Pumpkin Artisan Ales,Saison / Farmhouse Ale,4.5
Banana Bread Beer,Charles Wells Brewery,Fruit Beer,5.2
Barrel Aged CEO Stout,Right Brain Brewery,Stout - Other,7.5
Barrel-Aged Dystopia,Greenbush Brewing Company,Stout - Russian Imperial,9.5
Basement Fire,Wolverine State Brewing Co.,Smoked Beer,5.8
Basic Bitch,Tenacity Brewing,Blonde Ale - Belgian Blonde / Golden,4.8
Baudelaire Beer iO Saison,Jolly Pumpkin Artisan Ales,Saison / Farmhouse Ale,6.8
Beach Wheat,Short's Brewing Company,Hefeweizen,4.5
